,variable,value
0,CITY:AE000001,"Abu Dhabi, AE"
1,CITY:AE000002,"Ajman, AE"
2,CITY:AE000003,"Dubai, AE"
3,CITY:AE000006,"Sharjah, AE"
4,CITY:AF000007,"Kabul, AF"
5,CITY:AF000008,"Kandahar, AF"
6,CITY:AG000001,"Algiers, AG"
7,CITY:AG000002,"Annaba, AG"
8,CITY:AG000003,"Batna, AG"
9,CITY:AG000004,"Bechar, AG"
10,CITY:AG000005,"Bejaia, AG"
11,CITY:AG000006,"Constantine, AG"
12,CITY:AG000007,"Guelma, AG"
13,CITY:AG000008,"Laghouat, AG"
14,CITY:AG000009,"Medea, AG"
15,CITY:AG000010,"Mostaganem, AG"
16,CITY:AG000011,"Oran, AG"
17,CITY:AG000012,"Oum el Bouaghi, AG"
18,CITY:AG000013,"Saida, AG"
19,CITY:AG000014,"Sidi-Bel-Abbes, AG"
20,CITY:AG000015,"Skikda, AG"
21,CITY:AG000016,"Tamanrasset, AG"
22,CITY:AG000017,"Tlemcen, AG"
23,CITY:AJ000001,"Baku, AJ"
24,CITY:AJ000002,"Naxcivian, AJ"
25,CITY:AL000001,"Durres, AL"
26,CITY:AL000004,"Shkoder, AL"
27,CITY:AL000005,"Tirana, AL"
28,CITY:AM000001,"Yerevan, AM"
29,CITY:AO000005,"Luanda, AO"
30,CITY:AO000006,"Lubango, AO"
31,CITY:AO000008,"Namibe, AO"
32,CITY:AR000001,"Bahia Blanca, AR"
33,CITY:AR000002,"Buenos Aires, AR"
34,CITY:AR000003,"Catamarca, AR"
35,CITY:AR000004,"Comodoro Rivadavia, AR"
36,CITY:AR000005,"Cordoba, AR"
37,CITY:AR000006,"Corrientes, AR"
38,CITY:AR000007,"Formosa, AR"
39,CITY:AR000008,"La Plata, AR"
40,CITY:AR000009,"La Rioja, AR"
41,CITY:AR000010,"Mendoza, AR"
42,CITY:AR000011,"Neuquen, AR"
43,CITY:AR000012,"Parana, AR"
44,CITY:AR000013,"Posadas, AR"
45,CITY:AR000014,"Resistencia, AR"
46,CITY:AR000015,"Rio Gallegos, AR"
47,CITY:AR000016,"Rosario, AR"
48,CITY:AR000017,"Salta, AR"
49,CITY:AR000018,"San Juan, AR"
50,CITY:AR000019,"San Luis, AR"
51,CITY:AR000020,"San Miguel De Tucuman, AR"
52,CITY:AR000023,"Santa Rosa, AR"
53,CITY:AR000024,"Santiago Del Estero, AR"
54,CITY:AR000025,"Ushuaia, AR"
55,CITY:AS000001,"Adelaide, AS"
56,CITY:AS000002,"Brisbane, AS"
57,CITY:AS000003,"Cairns, AS"
58,CITY:AS000004,"Canberra, AS"
59,CITY:AS000005,"Darwin, AS"
60,CITY:AS000006,"Melbourne, AS"
61,CITY:AS000007,"Newcastle, AS"
62,CITY:AS000008,"Perth, AS"
63,CITY:AS000009,"Rockhampton, AS"
64,CITY:AS000010,"Sydney, AS"
65,CITY:AS000011,"Townsville, AS"
66,CITY:AU000001,"Graz, AU"
67,CITY:AU000002,"Innsbruck, AU"
68,CITY:AU000003,"Klagenfurt, AU"
69,CITY:AU000005,"Salzburg, AU"
70,CITY:AU000006,"Vienna, AU"
71,CITY:BA000001,"Al-Muharraq, BA"
72,CITY:BA000002,"Manama, BA"
73,CITY:BB000001,"Bridgetown, BB"
74,CITY:BC000001,"Francistown, BC"
75,CITY:BC000002,"Gaborone, BC"
76,CITY:BC000003,"Molepolole, BC"
77,CITY:BE000002,"Brussels, BE"
78,CITY:BE000003,"Gent, BE"
